commit_id	added_line	deleted_line	guard_addition
2d71af4dbe22557fda74f9a9b4309b15a7487f03	0	0	0
1162f6d6ee833ab602dc457409d0edc27070987f	244	0	0
e2ba86e36666ec112b4991f99f1bbf9187fb8672	0	0	0
a01833affd8097e5bf34542565283b602f3fb893	0	0	0
f93be970e70b1d21c4588114db50c2ce7de5b8fc	0	0	0
2e26c8836edc800c60b204a1d3da0285edb415d6	341	79	0
16cb73dab6dfb9757473528c44213f73b1c840ea	0	0	0
b90c19447884b989a7b8623e3d3bfd03bd2b5955	2	0	0
09fbace1d70baf34c4927a937b5bdf77055f3673	0	0	0
b951319972a05225c5c0e9d1d08318f747c7023d	0	0	0
1155a081fa9a01d183e8a669f8608d4fa968938b	541	37	0
2a80654d57599d92bf62c72310947beb5d993b5c	16	23	0
a09a67971d7aaa31617988a188501b855e3e59f2	356	142	0
6ce1a6cc3824e052f99361620169c42de01a99ab	22	13	0
a6efddca2ade745f9ae1454579e7a70c74219d8e	142	28	0
cbbdcc328d66db86c197a87560da42afaa88ccbb	27	0	0
dabcdc1758437e654896ac69e737aec337da529b	31	0	0
126fb0f22d701cad58bf3123bf7d8f2219e60387	773	85	0
eacb4e4f34189178bb83df614be928bf27d410d1	0	0	0
a188308cfb96da62dcd212b53247177f62771966	222	67	0
e5259e437540f349646870ea94dc2658c4e44b3b	0	0	0
5e453dba5dfe9d81b711c0b77dc265c914cd092a	0	0	0
ffda36316b99c50802e1f812da5f5bfb41b8808c	0	7	0
7b9176cbbe5878d7471b2ef02e1748d9229adb59	0	0	0
e754927db6ca9c7a0d8bc426d393759c55ca8b96	0	0	0
e0af6ed7598fc4555d7625ddc8efd86e2281babf	254	84	0
0666919fe1ecc516276d41337e09163f7cfd4c9a	0	0	0
997fa5e765f3a3288d4c010a9bb170dd59007031	329	25	0
c9da2e287bc28ef05a62e5eb7f78f6dac2a864bd	3	2	0
3fcf7bb46223f1c53e84f5559b7a7751ef9c2322	142	30	0
fd25ee3d2fb01c9cd488d00430e3635db2c2be02	58	17	0
d53e4ca2d198b0ec311e9ac5427e481e02b9f878	17	17	0
fc58463c2016549524d56c1c807633295a15814d	143	119	0
00dbf70c8855007ce732e072761708fd61d844f1	0	0	0
