125 pid:1 1:131826 2:1920146 3:12 4:1 5:45149 6:45417 # 93fbdc0e-e0e0
126 pid:1 1:131827 2:1920153 3:15 4:3 5:45590.625 6:92102 # 85d24ffd-0bd6
34 pid:1 1:131826 2:1920140 3:6 4:1 5:26 6:0 # c9642b1f-761c
133 pid:1 1:65915 2:960082 3:7 4:3 5:43353.75 6:5 # fc1c3866-973f
120 pid:1 1:65913 2:960076 3:7 4:1 5:856.75 6:774 # e0737605-7bc4
7 pid:1 1:131829 2:1920161 3:6 4:2 5:1 6:11 # b5a3eafb-f05d
137 pid:1 1:98871 2:1440118 3:11 4:4 5:43355.5 6:10070 # afaa797a-c3d3
123 pid:1 1:131829 2:1920153 3:8 4:4 5:61514.75 6:66394 # 4f4bef59-3508
142 pid:1 1:98871 2:1440116 3:11 4:5 5:34836 6:35106 # 61b85ba7-b3a2
36 pid:1 1:65922 2:960151 3:22 4:7 5:2 6:83 # ac1467d5-6aac
17 pid:1 1:65921 2:960119 3:6 4:5 5:3 6:3 # f436c549-4626
101 pid:1 1:65953 2:960452 3:13 4:5 5:219 6:219 # b4a770b7-8038
14 pid:1 1:98873 2:1440135 3:9 4:3 5:4 6:4 # ced1ac55-a59e
122 pid:1 1:131827 2:1920144 3:7 4:2 5:47218.125 6:42 # 960e7f42-6f96
106 pid:1 1:164912 2:2401638 3:13 4:8 5:2528.75 6:2707 # 5257d2b4-0e9a
134 pid:1 1:131831 2:1920166 3:6 4:4 5:446159.125 6:44011 # 28fd88bd-b0d5
131 pid:1 1:65913 2:960075 3:6 4:2 5:2318.125 6:2345 # 655bf64d-978e
129 pid:1 1:65913 2:960074 3:6 4:1 5:35104.375 6:35388 # 57fcc939-8d8a
83 pid:1 1:65919 2:960129 3:19 4:6 5:81 6:81 # 417422c7-b292
118 pid:1 1:131829 2:1920148 3:7 4:4 5:61042.25 6:738 # ae1cb794-384e
61 pid:1 1:131826 2:1920140 3:6 4:3 5:163.625 6:177 # 58cad3d6-c01c
12 pid:1 1:131832 2:1920187 3:15 4:8 5:4 6:9 # 457d4028-944a
22 pid:1 1:65919 2:960128 3:18 4:5 5:8 6:3 # b96a2616-8ce8
93 pid:1 1:65916 2:960098 3:9 4:2 5:106.125 6:774 # ff5a5e79-6a4d
8 pid:1 1:131826 2:1920140 3:6 4:3 5:10 6:2337 # 8c8143c6-febe
59 pid:1 1:98872 2:1440128 3:6 4:3 5:4 6:5 # c3b05b01-44a5
124 pid:1 1:65913 2:960076 3:7 4:1 5:750.625 6:774 # 942764fa-69db
35 pid:1 1:65925 2:960129 3:13 4:6 5:19 6:14 # d47f652e-4444
63 pid:1 1:131829 2:1920162 3:6 4:2 5:8 6:75 # f5a8b058-76f2
