,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
4f060f39-0db4,388,509088,12074,388,5904,128,65913,960072,3,1,44071,201,195,396,196
c724bf89-03b9,2,14455,12522,2,192,160,65916,960095,8,2,1,43,40,83,36
28fd88bd-b0d5,437313,129860473,1164574,437313,12672208,40288,131831,1920166,6,4,44011,331,331,662,332
b96a2616-8ce8,8,28711,10165,8,496,216,65919,960128,18,5,3,89,95,184,94
655bf64d-978e,2308,4507689,42931,2308,52264,176,65913,960075,6,2,2345,264,256,520,259
9660d5ff-8236,9960,39291974,267092,9960,138448,2312,65917,960094,5,3,9271,307,272,579,293
adbe43a5-6a06,4,24752,9914,4,408,128,65913,960071,2,1,4,79,86,165,84
827ec298-b836,41,272896,10835,41,6560,160,65913,960069,2,1,0,177,196,373,183
8b66ecec-c5a7,64094,35567511,544728,64094,574784,1280,65913,960071,2,1,0,306,305,611,306
797a4039-1230,1,9604,9604,1,200,200,65913,960070,2,1,17,30,46,76,31
ba89d996-b3a0,1041,2982297,52297,1041,30808,200,65914,960072,2,2,7,251,235,486,245
bb025aec-12e1,9,406088,89448,9,25344,2912,65914,960073,3,3,9,193,232,425,212
e5591f26-5272,532,387181,12301,532,13376,176,131831,1920165,9,4,2631,189,219,408,203
e09136fb-6f82,480,2534277,43116,480,24272,88,65913,960071,3,1,484,248,230,478,243
8beaa0f3-7413,8,16987,5869,8,528,136,131826,1920139,5,1,0,55,100,155,79
e93a0a31-05dd,8,322905,67760,8,47128,6864,197762,2880401,35,16,35393,185,252,437,217
24f8558a-3422,1500,767764,22017,1500,73352,1304,65916,960092,3,2,1500,215,263,478,242
a1146e55-52a5,8,929522,196735,8,47240,7608,99073,1442163,30,12,8,220,253,473,239
fa1d68e5-3a72,11,15506,3150,11,1632,368,65927,960164,13,6,27,49,153,202,101
870584a1-e7bf,124,189665,15681,124,2880,192,65917,960100,4,3,124,165,166,331,165
6a1ebf87-5d6a,27,1803375,160166,27,359064,13816,66038,961255,15,10,43,243,291,534,264
53723eb8-1c02,1,19083,19083,1,176,176,65913,960070,2,1,825,63,35,98,45
34af0b4d-b697,100,315443,27713,100,21696,312,131832,1920188,15,3,204,183,229,412,205
8463446d-b2cb,12,27707,5786,12,792,120,65916,960093,3,2,15,86,128,214,108
a705bfff-b0f9,477,717968,15623,477,1696,112,65915,960083,4,3,124,210,155,365,178
8fddfcb3-7130,3,29240,13512,3,360,168,131832,1920172,12,5,16,90,79,169,87
12c5bd62-f514,2219,7150749,59023,2219,86704,176,131826,1920145,11,2,0,272,265,537,269
c7ef2aa8-5a2f,28,43898,6656,28,768,144,131826,1920139,5,1,21,110,125,235,121
029c43e8-0cf0,7410,8876362,78189,7410,92328,304,65913,960070,2,1,17424,277,266,543,273
0d09e851-9f2a,2051,1152891,41222,2051,57400,208,131826,1920139,5,1,2631,228,259,487,246
bff4d96d-7ef2,1030,821948,31279,1030,11552,104,131828,1920148,7,4,1413,218,215,433,215
d4786868-539c,287,1103972,30918,287,4320,96,65913,960069,2,1,292,224,183,407,202
fc1c3866-973f,42816,100700727,618781,42816,684832,1752,65915,960082,7,3,5,326,311,637,321
37027a43-e776,12,52898,15048,12,792,144,65916,960093,3,2,12,116,127,243,127
f4d13f8c-fd03,2,114546,66737,2,4880,2440,131829,1920171,17,6,83,151,189,340,169
1dae5c8c-4b5e,36,86674,7729,36,1440,176,65913,960074,6,1,20,139,150,289,145
afa096dc-293c,12,42150,13187,12,816,112,65913,960070,2,1,10,106,130,236,124
1fa3f575-4343,1850,1143614,18839,1850,44480,104,65914,960073,3,2,1850,226,250,476,240
ca55f26b-3f6f,9,63986,24435,9,288,144,65931,960161,4,3,219,126,64,190,96
9d9838a0-8b55,33365,41274540,5070217,33365,20784,1752,65914,960071,2,2,5,308,228,536,267
f9705258-8199,121,151391,7466,121,768,128,65913,960069,2,1,121,161,120,281,142
cc7842ab-83d8,18,50934,28577,18,360,120,65913,960069,2,1,18,115,77,192,97
46a5b450-fe05,1400,899557,11556,1400,33712,136,65913,960070,2,1,1400,219,238,457,229
85d24ffd-0bd6,44816,68895247,637019,44816,1552072,40216,131827,1920153,15,3,92102,321,323,644,327
4f4bef59-3508,60604,59308152,1377620,60604,898672,1808,131829,1920153,8,4,66394,318,313,631,317
6d384cf1-3fd0,33,1789230,330230,33,39256,1296,131870,1920613,8,5,3,242,245,487,247
445d7f41-5794,14,10659,4100,14,288,24,65913,960070,2,1,44399,34,66,100,47
16203a23-2cf4,403,287249,4224,403,7280,128,65913,960070,2,1,411,178,202,380,187
78e2c90e-b650,24,31617,6923,24,0,0,65913,960069,2,1,24,93,7,100,48
7c08f9cf-7e6c,9,14804,4754,9,360,168,65913,960071,2,1,3,48,82,130,66
2d883721-c0d9,40,77210,4305,40,4088,320,65927,960165,14,6,27,131,177,308,157
6a0ccb45-5cfd,20,14488,3400,20,568,112,131826,1920140,6,2,2337,45,104,149,74
1940d65e-b62a,100,143807,8740,100,1680,168,65913,960076,7,1,774,156,154,310,159
1c001bce-de35,4178,1333817,338090,4178,42096,40128,65913,960069,2,1,4268,231,248,479,244
aa3dc7a2-16b6,37365,5068702708,163571385,37365,363397896,803968,164782,2400181,15,4,35388,343,342,685,343
6afa3e67-bad5,10829,42311733,686455,10829,303392,39664,65913,960070,2,1,10942,310,289,599,301
3943d22f-5e77,6,450704,104448,6,14952,2632,197738,2880207,8,3,183580,196,224,420,209
2b2f99d8-72e9,90876,73235378,384484,90876,1183448,40208,65914,960072,2,2,93971,323,319,642,326
74864cc0-8221,2,313651,171328,2,14608,7864,164790,2400235,17,5,77,181,223,404,199
bd060119-9b04,4,38584,14053,4,576,144,65913,960069,2,1,4,103,105,208,105
92539a8b-9ea8,81,3057633,176411,81,206904,2936,131825,1920148,16,5,81,253,282,535,265
ca3b146c-76f0,1,9024,9024,1,128,128,65913,960069,2,1,86,26,19,45,14
3db0d327-4415,14,101005,12470,14,1272,120,98869,1440104,4,2,14,144,149,293,150
4b9b8745-4109,26,13075,2213,26,1800,232,65916,960083,3,2,27,42,159,201,100
0d09cc8c-cfa6,45486,17568875,466346,45486,213696,41224,65913,960072,3,2,46057,289,284,573,290
95d28104-a2ec,6,40006,11208,6,688,160,131828,1920145,6,5,7,105,116,221,112
8afd83ab-c598,26,124154,13819,26,784,104,131826,1920139,5,1,0,153,126,279,140
76fca6e0-6e80,2,15886,10813,2,272,248,65913,960070,2,1,14,51,59,110,54
c74884c3-9a11,532,33867229,280593,532,22460944,165384,131968,1921732,11,5,2631,304,334,638,322
3c27ad4f-b482,1087,1561552,30693,1087,4128,96,65913,960069,2,1,10070,239,178,417,208
a4155baf-6b6c,71,2338000,377317,71,60584,9432,98879,1440199,4,2,71,246,260,506,256
1d630b1a-7f5f,11,154678,51684,11,16232,2240,164782,2400172,6,3,0,163,226,389,193
28e9e3b1-d44e,9669,16953799,694265,9669,571184,1312,65923,960142,17,6,10017,287,304,591,298
99b8e53c-a16c,3,81621,33967,3,456,152,98876,1440152,12,5,2,134,92,226,113
