,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
f75ea352-f3fa,9044,3315724,107149,9044,34544,160,131898,1920820,13,5,9046,257,241,498,253
cc0d6288-7129,8,42209,13580,8,560,160,131832,1920183,11,3,26,107,102,209,106
31348412-aede,10,56727,12485,10,624,120,65916,960091,3,2,28,122,107,229,116
f638fbd6-04ac,5,26854,15415,5,280,184,131832,1920183,10,4,33,84,61,145,71
57fcc939-8d8a,34571,77855168,268769,34571,1144032,1784,65913,960074,6,1,35388,324,317,641,325
b23dc006-ee01,20115,5356610,44453,20115,53616,104,65914,960078,7,3,20364,268,258,526,260
7dd88a75-5107,56,1340986,951065,56,18560,1672,263884,3841404,15,7,56,232,227,459,233
ca6220ff-df61,7,33649,12792,7,264,120,65913,960070,2,1,7,96,57,153,77
917c3f91-19a2,2,36124,23588,2,520,328,197746,2880255,11,6,169,98,97,195,98
4b5e2d07-6b3a,3,18519,7771,3,624,208,65913,960069,2,1,0,59,109,168,86
d4c8a769-d8e1,6,12444,7562,6,256,136,65913,960071,3,1,42892,40,56,96,44
c436936a-2136,27,312071,38048,27,7576,552,164853,2400714,27,11,27,180,204,384,189
9d16f63c-76d8,5774,17607885,356915,5774,184800,41184,65915,960081,5,3,55840,291,277,568,286
ffff809d-b57d,1,1773,1773,1,32,32,65914,960082,9,2,25,2,9,11,1
b753fadd-71ae,712,2829285,404569,712,4576,88,65914,960071,2,2,35224,249,188,437,218
8f10368a-e760,81,343119,29724,81,5104,216,65919,960121,13,4,81,187,190,377,186
63d76c1b-ac1b,138,315307,20945,138,4032,168,65913,960071,3,1,9980,182,176,358,175
0e5f8818-840e,45486,15022473,135441,45486,176544,1280,65913,960072,3,2,46057,286,275,561,280
ac1467d5-6aac,2,25018,21647,2,96,48,65922,960151,22,7,83,80,12,92,40
075403d5-4c5c,6,50674,13583,6,560,128,131828,1920145,6,3,0,112,103,215,109
01e0be6e-6d53,477,752177,20403,477,1616,112,65915,960083,4,3,124,213,152,365,179
734ef112-98a2,30,86575,20109,30,672,96,65913,960069,2,1,201,138,113,251,131
4da8a7cc-ddfb,69,767083,44166,69,4032,96,131828,1920142,5,3,70,214,175,389,194
afaa797a-c3d3,42816,376018864,3791714,42816,5530664,2312,98871,1440118,11,4,10070,335,327,662,333
60c7d522-e71c,24,104897,15053,24,992,128,98869,1440104,4,2,24,145,138,283,143
265152be-e3ad,3,16204,9464,3,200,152,131826,1920139,5,1,3,52,42,94,41
d29fb580-c9ea,488,1627612,211206,488,13160,176,65913,960071,2,1,486,240,217,457,230
497b0674-dac0,9669,786460210,11138287,9669,153400584,79520,263789,3841556,85,34,10017,338,339,677,338
ec888ddb-07e3,819,1247238,39683,819,30680,1816,65913,960074,6,1,823,230,234,464,235
9a969c60-9251,63867,77867244,480038,63867,809592,40208,131826,1920140,6,1,45468,325,312,637,320
dc80e54f-1843,73,1477875,121003,73,10560,152,131829,1920161,8,4,9,235,214,449,225
5ce58501-a07a,38,36867,3711,38,1160,136,65913,960070,2,1,76322,101,145,246,128
854cde87-71ce,27,54547,12638,27,648,24,65913,960070,2,1,7,120,112,232,119
c753a8f1-91ba,2,6209,4219,2,240,120,131826,1920139,5,1,0,19,54,73,30
afcb8bdf-c650,45614,17596016,1625488,45614,175416,1280,65914,960075,3,2,46165,290,274,564,282
5cee03b2-9aeb,540,1004428,30382,540,13392,96,65916,960091,3,2,543,222,220,442,222
27381780-a6c0,27,124789,17519,27,960,128,65913,960070,2,1,73,154,136,290,146
e13ba245-494c,45344,21063472,6744322,45344,1800,72,65913,960069,2,1,45943,294,158,452,227
43b6fea3-f18e,8,53463,22918,8,768,216,65919,960117,9,4,15,118,124,242,125
d0d9661d-266d,1,3116,3116,1,200,200,131832,1920183,11,4,26,5,43,48,17
5664bf76-d3c3,7,22393,7519,7,360,120,65913,960069,2,1,7,75,81,156,80
457d4028-944a,4,20070,6695,4,288,192,131832,1920187,15,8,9,66,63,129,65
c3b05b01-44a5,4,70950,27561,4,592,208,98872,1440128,6,3,5,129,106,235,123
01163cff-7530,65,173585,5120,65,7888,240,2343245,34113637,20,7,56,164,205,369,181
4ad92926-6c80,374,745985,22949,374,8176,104,65913,960070,2,1,3132,212,208,420,210
8c8143c6-febe,10,7440,1650,10,336,120,131826,1920140,6,3,2337,22,73,95,42
0f083e77-2f17,2,14757,8537,2,272,136,65913,960071,3,1,317,47,60,107,51
f0fe752e-d40b,416,963750,29123,416,14400,224,65914,960073,2,2,34,221,222,443,223
b75cc0e9-e4a1,24,142185,33003,24,1544,288,65914,960083,10,2,25,155,151,306,156
b1fb8c15-c351,1180,3220893,33425,1180,34000,200,65914,960073,2,2,7,256,240,496,252
82f0ce45-4f8a,85016,50512211,177985,85016,932520,1784,65913,960070,2,1,8,316,314,630,316
0b8d871c-1eee,85790,118868325,1487576,85790,1013904,40304,131826,1920139,5,2,20,330,315,645,329
9acbd6e9-1e44,492,1388444,52516,492,15960,216,98876,1440156,16,5,237064,233,225,458,232
bdcb9c85-f50d,1,3467,3467,1,48,48,131831,1920167,14,3,2,7,10,17,4
d8dae9d4-a2e9,9845,28653523,38064,9845,245520,112,65913,960075,6,1,10058,300,285,585,297
681b5d74-fbd6,566,4427849,98241,566,544240,1208,65955,960545,7,3,0,263,301,564,281
702c6875-5581,16,86193,15453,16,736,112,65913,960070,2,1,5,137,118,255,134
3ac2cf27-f57f,66,394022,24902,66,5112,104,131826,1920139,5,1,0,190,191,381,188
be75373a-924d,20373,8089212,47634,20373,63600,144,65913,960070,2,1,0,275,261,536,266
914de1bc-7e38,295,462216,25384,295,4544,128,65913,960071,3,1,322,197,187,384,190
