,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
5616d7c6-e5ad,158.6,683453.5,497416,158.6,90772,680,294,2639,8,6,1821,56,77,133,64
24d9be20-246c,1170.1,2392496.2,74700,1170.1,592752.8,568,101,1011,12,6,1375,88,104,192,98
d450c029-3f6e,709,11361258.4,293836,709,929277.6,2240,294,2639,8,6,921,116,116,232,116
c0db835e-f1c2,7943.7,13396292.7,900201,7943.7,29454.4,1232,517,4894,23,16,10672,119,52,171,86
ca19dd62-40cc,1,35532.5,42129,1,3812,3840,97,944,12,5,191,13,23,36,17
699c127d-d958,12,20796.2,8877,12,4032,416,448,4160,13,11,145,7,25,32,14
c5ba7973-7bef,86.4,1150182.5,247407,86.4,73006.4,15656,337,3036,12,7,129,71,73,144,74
c18fa10b-7f98,26,208380.6,136098,26,18703.2,880,415,3848,14,10,1783807,37,45,82,41
a5eb85e7-3ee6,17238.1,15736532.8,109057,17238.1,5379007.2,456,157,1541,12,9,76380,123,130,253,128
c11904db-62fa,107675.3,236484533.9,8974311,107675.3,69005058.4,229848,339,3014,13,8,137081,166,164,330,167
188c3eee-8559,48.9,450764.1,52198,48.9,27819.2,688,319,2832,13,8,10523,48,50,98,45
904b9b32-3443,125.8,667328.8,92545,125.8,70400.8,640,324,2854,13,9,350082,55,72,127,60
e47b0972-72b2,47,167714.9,23194,47,9240,264,295,2726,7,5,19,34,41,75,39
59cad499-a528,14714.2,29390338.5,7001203,14714.2,12108530.4,1344,134,1330,16,7,98281,133,140,273,136
d54dae4a-1c58,589.3,4899123.3,286888,589.3,370606.4,992,293,2636,7,5,921,101,97,198,100
0353d787-cc42,783,32372999.2,2678506,783,4542559.2,6576,377,3477,16,11,783,135,129,264,132
681a17e7-7194,281564.7,4088500920.2,223230986,281564.7,2455196739.2,75088,10714,190499,16,8,998077,173,173,346,173
2ca72376-de8a,7819.5,5703718.2,82365,7819.5,7975.2,2496,295,2728,9,6,10527,104,36,140,72
a737b092-dba0,1345.4,5762691.9,313399,1345.4,778897.6,696,319,2782,11,7,4481,107,114,221,110
a54c3fbb-ac2c,1117.7,7010908.3,144883,1117.7,693048,1184,251,2238,11,9,1252,110,108,218,108
dc054b82-02d6,90717.2,42292254.2,102692,90717.2,13442792,3184,10710,190502,8,3,998077,145,143,288,144
a6a87989-dcdf,948.7,4008425.9,789679,948.7,281689.6,376,295,2726,7,5,84913,98,91,189,96
8357efd3-d31a,709,2405118.7,471963,709,206672,368,296,2730,9,6,921,90,87,177,90
30b83fe8-6277,40041.7,37108732.9,2523502,40041.7,1922763.2,1304,5398,95395,5,1,353,142,124,266,133
b172b597-2f0e,1325.6,49062635.6,2251025,1325.6,11488714.4,10224,607,5652,34,18,1427,147,139,286,142
832d24aa-4817,18,42298,19932,18,9416,608,322,2932,10,8,20,15,42,57,29
388bf98d-4b83,35.4,39876.4,17438,35.4,1720.8,120,0,3,3,1,98281,14,16,30,11
7626a7a3-745c,17218.4,35529610,4917940,17218.4,17503154.4,1848,221,2163,15,11,76380,140,146,286,141
b0d0fd61-1a49,1434.3,5755166.7,891014,1434.3,508596,440,294,2639,8,6,921,106,101,207,105
453412ed-1e5e,219.6,845204.1,120962,219.6,83500.8,480,293,2636,7,5,1568,62,76,138,70
0c5a7587-64b6,590.5,12826383.1,1889147,590.5,1922547.2,67504,97,944,12,5,594,118,123,241,123
430a7fd4-89ab,114.9,837646.6,711077,114.9,47554.4,600,323,2934,10,7,231,61,62,123,56
348ba3ea-24ac,1664599.5,326084439,4345101,1664599.5,248933228.8,15288,271,2325,10,5,4958412,169,171,340,169
14a77637-4a06,579.6,1092813,976259,579.6,107689.6,248,95,933,12,6,1375,68,79,147,77
10153462-b611,5928.4,1729971.2,37393,5928.4,285902.4,1304,220,1840,5,1,998077,81,92,173,87
94ec16f7-aed9,1951.7,21175598,1392329,1951.7,2445221.6,2512,319,2783,12,8,1503,129,126,255,130
1069cc1d-1929,150969.1,62877896.3,636101,150969.1,7251395.2,1304,10698,190332,5,1,1354011,152,136,288,145
a301da43-5e42,489.9,5577057,67694,489.9,7279208.8,31208,170,1685,17,8,98281,103,137,240,122
d10a89ae-ff55,11499.3,9899478.9,1189782,11499.3,551966.4,48,5398,95395,5,1,16,115,103,218,109
6b0033ff-c648,18,25030.3,22523,18,9536,608,322,2932,10,8,20,10,43,53,25
d87c94a9-54b0,11192.2,29905272.2,6187429,11192.2,335544,157800,497,4815,15,13,14640,134,94,228,114
61bf418c-0a21,190,436167.3,113659,190,47769.6,368,291,2626,8,6,526,47,63,110,49
1ffb6276-2c43,949.2,3002479.1,1219401,949.2,49770.4,1272,10674,190191,2,1,1568,94,64,158,80
1ca14be4-67a3,1354.1,13552490.6,563955,1354.1,1488776,15192,339,3014,13,8,3512,120,121,241,124
c6bcb808-a29b,42306.7,65501055.1,8273383,42306.7,753817.6,96448,686,6668,31,21,146782,155,111,266,134
a3da58a5-9642,2607.2,8874344.3,1358236,2607.2,777596,1072,295,2726,7,5,84913,113,113,226,112
89d7f45d-59cf,21,55932.6,16235,21,1632,152,196,1699,2,1,22,20,15,35,15
b8bb40b2-5c01,1117.7,2577010.2,50128,1117.7,57153.6,144,224,1880,5,1,1135,92,67,159,82
7986e1c0-8c0b,52,269717.8,879630,52,3267.2,200,10675,190199,4,3,108,41,20,61,33
4d3a496f-f113,49.9,402551.7,46869,49.9,424,424,319,2832,13,8,97,44,8,52,24
93e63b22-a2a3,488.1,1058942.6,55925,488.1,133456,1752,353,3236,10,7,526,67,81,148,79
35067b53-2f55,593.9,1976884.5,110117,593.9,232616,1688,422,3884,14,11,526,84,89,173,88
116c66e4-860c,11961,35978962.4,95749,11961,6794795.2,1824,324,2854,13,9,350082,141,133,274,137
495ea13f-d751,11961,62949700.6,4471782,11961,32331377.6,2992,388,3475,15,11,350082,153,158,311,158
c5b1bd0d-84bf,4718.7,804364.1,51682,4718.7,226881.6,144,0,3,3,1,98281,59,88,147,76
b630f03f-f4b5,3130.9,37415771.6,13170947,3130.9,46589789.6,31208,170,1686,18,8,98281,143,162,305,154
7bd23849-4504,12.3,168727.6,193851,12.3,1248,1248,389,3538,18,10,146084,35,13,48,22
