,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
6317776c-f1b6,13,357042,67808,13,32224,4912,27102,442082,18,14,0,11,13,24,11
185e1970-2cdd,1231,30891751,293625,1231,13114512,90040,132,1355,18,11,0,67,71,138,71
be0072e5-4a9b,12,182723,71846,12,28432,2456,8009,132160,21,9,69,7,12,19,6
aa11d037-6731,190,4167206,104985,190,638800,5384,9147,148793,35,20,2,44,40,84,41
1a9c7924-40e7,2315,33781747,306933,2315,7751200,14536,157,1554,25,11,13,69,65,134,67
8199e00a-73dc,2797,15047675,149041,2797,17834368,7976,359,3523,26,16,2,57,74,131,65
5b15ed75-ec21,65,1554461,75664,65,77264,1688,8386,134827,16,9,0,31,18,49,26
951747ce-cae4,3979,64039046,910019,3979,31922088,25848,309,3040,18,13,0,77,77,154,79
eff06385-6807,2472,15328064,45800,2472,11742856,6152,234,2301,20,10,444,58,70,128,64
7a9096cd-e406,193146,1641999893,2164116,193146,273314304,4136,280,2761,18,13,11189,83,81,164,83
6e21c501-6ee2,6,103857,45620,6,4144,888,224,2188,18,11,3,4,3,7,4
